,French,English
0,seulement,only
1,police,police
2,demande,request
3,genre,kind
4,mois,month
5,frère,brother
6,car,because
7,mettre,to put
8,aucun,no
9,laisse,leash
10,eux,them
11,ville,city
12,parlé,speak
13,arrivé,come
14,devrait,should
15,bébé,baby
16,heures,hours
17,revoir,meet again
18,aucune,any
19,étaient,were
20,attention,Warning
21,voici,here is
22,pourrais,could
23,affaire,case
24,type,type
25,train,train
26,endroit,place
27,façon,way
28,dont,whose
29,trouve,find
30,main,hand
31,côté,side
32,tiens,here
33,tellement,so much
34,enfant,child
35,point,point
36,suite,after
37,pardon,sorry
38,devant,in front of
39,vers,towards
40,demandé,request
41,chambre,bedroom
42,aujourd'hui,today
43,mari,husband
44,cause,cause
45,enfin,finally
46,espère,hope
47,eau,water
48,attendez,Wait
49,boulot,job
50,arrêter,Stop
51,chérie,sweetheart
52,plutôt,rather
53,aura,will have
54,filles,girls
55,bureau,office
